NestID,Structure Type,Structure ID,Maximum Width,Notes
E_brunneum1,Chamber,C2,3,
E_brunneum1,Chamber,C3,3,
E_brunneum1,Chamber,C4,3,
E_brunneum1,Chamber,C1,6,
E_brunneum1,Chamber,C5,9,
E_brunneum2,Entrance,E1,0,
E_brunneum2,Chamber,C4,1,
E_brunneum2,Chamber,C2,2,
E_brunneum2,Chamber,C5,2.5,
E_brunneum2,Chamber,C3,4,
E_brunneum2,Chamber,C1,7,
E_brunneum3,Chamber,C2,4,
E_brunneum3,Chamber,C1,5,
E_brunneum3,Chamber,C3,5.5,
E_brunneum4,Entrance,E1,0,
E_brunneum4,Chamber,C1,2.5,
E_brunneum4,Chamber,C2,3,
E_brunneum4,Chamber,C3,7,
E_brunneum5,Entrance,E1,0,
E_brunneum5,Chamber,C2,4,
E_brunneum5,Chamber,C4,4.5,
E_brunneum5,Chamber,C3,6,
E_brunneum5,Chamber,C1,12,
F_archboldi1,Chamber,C1,NA,
F_archboldi1,Chamber,C2,NA,
F_archboldi1,Chamber,C3,NA,
F_archboldi1,Chamber,C4,NA,
F_archboldi1,Chamber,C5,NA,
F_archboldi1,Chamber,C6,NA,
F_archboldi1,Chamber,C7,NA,
F_archboldi1,Chamber,C8,NA,
F_archboldi2,Chamber,C1,NA,
F_archboldi2,Chamber,C2,NA,
F_archboldi2,Chamber,C3,NA,
F_archboldi2,Chamber,C4,NA,
